From*, To*, Variable*, Range_Lower_Limit*, Weight, 
1, 2, dynamic_Infraestructura/Dist_redEPM, 0, 0.653385536019928, 
1, 2, dynamic_Infraestructura/Dist_redEPM, 60, 0.383713434940254, 
1, 2, dynamic_Infraestructura/Dist_redEPM, 1380, -0.860883114454978, 
1, 2, dynamic_Infraestructura/Dist_redEPM, 1440, -0.257819644122959, 
1, 2, dynamic_Infraestructura/Dist_redEPM, 1620, -0.628396126364476, 
1, 2, dynamic_Infraestructura/Dist_redEPM, 1680, -1.05689890253966, 
1, 2, dynamic_Infraestructura/Dist_redEPM, 1740, -0.0185971019092874, 
1, 2, dynamic_Infraestructura/Dist_redEPM, 2520, -0.515829862204998, 
1, 2, dynamic_Infraestructura/Dist_redEPM, 2640, -0.199152856457615, 
1, 2, dynamic_Infraestructura/Dist_redEPM, 2940, 0.800979220933066, 
1, 2, dynamic_Infraestructura/Dist_redEPM, 3000, 0.310825000531459, 
1, 2, dynamic_Infraestructura/Dist_redEPM, 3120, -0.208731383901828, 
1, 2, dynamic_Infraestructura/Dist_redEPM, 3540, -1.24297079858066, 
1, 2, dynamic_Infraestructura/Dist_redEPM, 3600, -2.41626385178092, 
1, 2, dynamic_Infraestructura/Dist_redEPM, 3660, -1.14850060202606, 
1, 2, dynamic_Infraestructura/Dist_redEPM, 3720, -1.98312402151653, 
1, 2, dynamic_Infraestructura/Dist_redEPM, 3780, -1.15352573822873, 
1, 2, dynamic_Infraestructura/Dist_redEPM, 3840, -0.691675910709927, 
1, 2, dynamic_Infraestructura/Dist_redEPM, 3900, -0.941528413288658, 
1, 2, dynamic_Infraestructura/Dist_redEPM, 3960, -1.7500460830996, 
1, 2, dynamic_Infraestructura/Dist_redEPM, 4020, -0.717733396153362, 
1, 2, dynamic_Infraestructura/Dist_redEPM, 4260, -0.931843107554195, 
1, 2, dynamic_Infraestructura/Dist_redEPM, 4320, -0.350615124895407, 
1, 2, dynamic_Infraestructura/Dist_redEPM, 5040, -1.68775945289274, 
1, 2, dynamic_Infraestructura/Dist_vias_region, 0, 0.0313560876323775, 
1, 2, dynamic_Infraestructura/Dist_vias_region, 840, 0.376219405296122, 
1, 2, dynamic_Infraestructura/Dist_vias_region, 900, 0.189131682365604, 
1, 2, dynamic_Infraestructura/Dist_vias_region, 1860, -1.34458097499144, 
1, 2, dynamic_Infraestructura/Dist_vias_region, 1920, -1.9625047343138, 
1, 2, dynamic_Infraestructura/Dist_vias_region, 2040, -1.03079627863702, 
1, 2, dynamic_Infraestructura/Dist_vias_region, 2160, -0.00213141032047017, 
1, 2, dynamic_Infraestructura/Dist_vias_region, 3000, -0.98167548130207, 
1, 2, dynamic_Infraestructura/Dist_vias_region, 3060, -1.44558418528031, 
1, 2, dynamic_Infraestructura/Dist_vias_region, 3120, -0.811776444506673, 
1, 2, dynamic_Infraestructura/Dist_vias_region, 3180, -1.10407746281475, 
1, 2, dynamic_Infraestructura/Dist_vias_region, 3240, -0.570333764704921, 
1, 2, dynamic_Infraestructura/Dist_vias_region, 3660, 0.572755801619818, 
1, 2, dynamic_Infraestructura/Dist_vias_region, 3780, -1.70306587417541, 
1, 2, dynamic_Infraestructura/Dist_vias_rurales, 0, 0.600440241218534, 
1, 2, dynamic_Infraestructura/Dist_vias_rurales, 60, 0.375182207522691, 
1, 2, dynamic_Infraestructura/Dist_vias_rurales, 120, 0.165316987717021, 
1, 2, dynamic_Infraestructura/Dist_vias_rurales, 180, 0.115799366485113, 
1, 2, dynamic_Infraestructura/Dist_vias_rurales, 540, -0.418581428990323, 
1, 2, dynamic_Infraestructura/Dist_vias_rurales, 600, -1.00535131698735, 
1, 2, dynamic_Infraestructura/Dist_vias_rurales, 660, -0.486059276199608, 
1, 2, dynamic_Infraestructura/Dist_vias_rurales, 720, -0.768894717023407, 
1, 2, dynamic_Infraestructura/Dist_vias_rurales, 780, -1.1147727519315, 
1, 2, dynamic_Infraestructura/Dist_vias_rurales, 840, -0.472367802097305, 
1, 2, dynamic_Infraestructura/Dist_vias_rurales, 960, -0.62066213576474, 
1, 2, dynamic_Infraestructura/Dist_vias_rurales, 1140, -1.09636732438878, 
1, 2, dynamic_Infraestructura/Dist_vias_rurales, 1200, -1.51414028017154, 
1, 2, dynamic_Infraestructura/Dist_vias_rurales, 1260, -0.542924395560439, 
1, 2, dynamic_Infraestructura/Dist_vias_rurales, 1380, -0.951461702705574, 
1, 2, dynamic_Infraestructura/Dist_vias_rurales, 1440, -0.684141112407278, 
1, 2, dynamic_Infraestructura/Dist_vias_rurales, 1560, -1.42462368266498, 
1, 2, dynamic_Infraestructura/Dist_vias_rurales, 1620, -2.43592050433047, 
1, 2, dynamic_Infraestructura/Dist_vias_rurales, 1800, -2.54310417454981, 
1, 2, dynamic_Infraestructura/Dist_vias_rurales, 2040, -2.39773088958279, 
1, 2, dynamic_amenazas/Dist_Altaincendios, 0, -0.34946343989513, 
1, 2, dynamic_amenazas/Dist_Altaincendios, 60, -0.210810209776859, 
1, 2, dynamic_amenazas/Dist_Altaincendios, 420, -0.200265419331955, 
1, 2, dynamic_amenazas/Dist_Altaincendios, 1020, 0.675908266164884, 
1, 2, dynamic_amenazas/Dist_Altaincendios, 1080, 0.336056506219018, 
1, 2, dynamic_amenazas/Dist_Altaincendios, 1200, 0.00397296541760819, 
1, 2, dynamic_amenazas/Dist_Altaincendios, 1560, 0.862980425717436, 
1, 2, dynamic_amenazas/Dist_Altaincendios, 1620, 0.434407742599122, 
1, 2, dynamic_amenazas/Dist_Altaincendios, 1980, 0.534704956300402, 
1, 2, dynamic_amenazas/Dist_Altaincendios, 2100, 1.32501588531399, 
1, 2, dynamic_amenazas/Dist_Altaincendios, 2160, 0.292893337914718, 
1, 2, dynamic_amenazas/Dist_Altaincendios, 2460, 0.364321540711324, 
1, 2, dynamic_amenazas/Dist_Altaincendios, 2760, 0.87143713573566, 
1, 2, dynamic_amenazas/Dist_Altaincendios, 2880, 0.547630958729667, 
1, 2, dynamic_amenazas/Dist_Altaincendios, 3780, 0.63186870475405, 
1, 2, dynamic_amenazas/Dist_Altaincendios, 3900, 1.58865079798294, 
1, 2, dynamic_amenazas/Dist_Altaincendios, 4020, 0.756166421431627, 
1, 2, dynamic_amenazas/Dist_Altaincendios, 4260, 1.54086013414659, 
1, 2, dynamic_amenazas/Dist_Deslizamiento, 0, -1.08230176145058, 
1, 2, dynamic_amenazas/Dist_Deslizamiento, 60, -0.757304850176469, 
1, 2, dynamic_amenazas/Dist_Deslizamiento, 120, -0.175956491574655, 
1, 2, dynamic_amenazas/Dist_Deslizamiento, 240, 0.437999069886006, 
1, 2, dynamic_amenazas/Dist_Deslizamiento, 300, 0.44146819294469, 
1, 2, dynamic_amenazas/Dist_Deslizamiento, 2940, 0.469745672570708, 
1, 2, dynamic_amenazas/Dist_Deslizamiento, 3060, 0.367824541214791, 
1, 2, dynamic_amenazas/Dist_Deslizamiento, 3240, 0.198670694795484, 
1, 2, dynamic_amenazas/Dist_Deslizamiento, 3420, 0.497838519027435, 
1, 2, dynamic_amenazas/Dist_Deslizamiento, 3660, 0.423103736939566, 
1, 2, dynamic_amenazas/Dist_Deslizamiento, 3840, 0.707207988043463, 
1, 2, dynamic_amenazas/Dist_Deslizamiento, 4020, 1.29581131285214, 
1, 2, dynamic_amenazas/Dist_Mineria, 0, -0.572729163248551, 
1, 2, dynamic_amenazas/Dist_Mineria, 300, -0.39638209855269, 
1, 2, dynamic_amenazas/Dist_Mineria, 540, 0.231509207678206, 
1, 2, dynamic_amenazas/Dist_Mineria, 660, 0.234054442273081, 
1, 2, dynamic_amenazas/Dist_Mineria, 1140, 0.798797351031984, 
1, 2, dynamic_amenazas/Dist_Mineria, 1200, 0.481326256093608, 
1, 2, dynamic_amenazas/Dist_Mineria, 1380, 0.0914542846533475, 
1, 2, dynamic_amenazas/Dist_Mineria, 4380, -0.269901417153183, 
1, 2, dynamic_amenazas/Dist_Mineria, 4800, -1.78371031864293, 
1, 2, dynamic_amenazas/Dist_Mineria, 4860, -1.21255670627571, 
1, 2, dynamic_amenazas/Dist_Mineria, 4920, -0.631318454327124, 
1, 2, dynamic_amenazas/Dist_Mineria, 4980, -1.29788599708236, 
1, 2, dynamic_amenazas/Dist_Mineria, 5040, -0.169400703377021, 
1, 2, dynamic_amenazas/Dist_Mineria, 5580, 0.25781818561259, 
1, 2, dynamic_amenazas/Dist_Mineria, 5880, -1.36430353879158, 
1, 2, dynamic_amenazas/Dist_Mineria, 5940, -0.963879852956338, 
1, 2, dynamic_amenazas/Dist_Mineria, 6000, -1.4306454869283, 
1, 2, dynamic_amenazas/Dist_Mineria, 6120, -1.88590125953948, 
1, 2, dynamic_amenazas/Dist_Mineria, 6360, -0.0941417903114236, 
1, 2, dynamic_amenazas/Dist_Mineria, 6480, -0.0169521516202935, 
1, 2, dynamic_amenazas/Dist_Mineria, 6660, -1.60012213723378, 
1, 2, dynamic_amenazas/Dist_PlantacionesHisto, 0, 0.202780704561643, 
1, 2, dynamic_amenazas/Dist_PlantacionesHisto, 240, 0.0662721021041211, 
1, 2, dynamic_amenazas/Dist_PlantacionesHisto, 1140, -0.0473265742700028, 
1, 2, dynamic_amenazas/Dist_PlantacionesHisto, 1860, -0.744433481545959, 
1, 2, dynamic_amenazas/Dist_PlantacionesHisto, 1920, -1.1134268144229, 
1, 2, dynamic_amenazas/Dist_PlantacionesHisto, 2040, -1.44699713374359, 
1, 2, dynamic_biofisico/Dist_CorredoresSILAPE, 0, -0.526790403859223, 
1, 2, dynamic_biofisico/Dist_CorredoresSILAPE, 100, 0.462026576969542, 
1, 2, dynamic_biofisico/Dist_CorredoresSILAPE, 200, 0.847651392288764, 
1, 2, dynamic_biofisico/Dist_CorredoresSILAPE, 300, 0.855024150994927, 
1, 2, dynamic_biofisico/Dist_EcoPOMCA, 0, -2.12717827032682, 
1, 2, dynamic_biofisico/Dist_EcoPOMCA, 100, -1.12728639958119, 
1, 2, dynamic_biofisico/Dist_EcoPOMCA, 200, -0.280560131092948, 
1, 2, dynamic_biofisico/Dist_EcoPOMCA, 400, 0.211387827866211, 
1, 2, dynamic_biofisico/Dist_EcoPOMCA, 1400, 0.709353740652321, 
1, 2, dynamic_biofisico/Dist_EcoPOMCA, 1500, 0.535187307311686, 
1, 2, dynamic_biofisico/Dist_EcoPOMCA, 6400, 0.614232578899782, 
1, 2, dynamic_biofisico/Dist_EcoPOMCA, 6600, 0.756016766655709, 
1, 2, dynamic_biofisico/Dist_EcoPOMCA, 6900, 1.36805639011768, 
1, 2, dynamic_biofisico/Dist_EcoPOMCA, 7100, 1.93401408457838, 
1, 2, dynamic_biofisico/Dist_NucleosSILAPE, 0, 0.454473440043039, 
1, 2, dynamic_biofisico/Dist_NucleosSILAPE, 100, 0.118352417923527, 
1, 2, dynamic_biofisico/Dist_NucleosSILAPE, 300, -0.259176088729598, 
1, 2, dynamic_biofisico/Dist_NucleosSILAPE, 400, -0.479377013214028, 
1, 2, dynamic_biofisico/Dist_NucleosSILAPE, 700, -2.02312935613023, 
1, 2, dynamic_biofisico/Dist_NucleosSILAPE, 800, -1.44745392717746, 
1, 2, dynamic_biofisico/Dist_NucleosSILAPE, 1100, -0.542308821518225, 
1, 2, dynamic_biofisico/Dist_NucleosSILAPE, 1200, -2.15174673395232, 
1, 2, dynamic_biofisico/Dist_NucleosSILAPE, 1300, -2.889894359256, 
1, 2, dynamic_biofisico/Dist_nacimientos, 0, 0, 
1, 2, dynamic_biofisico/Dist_parquesreservas, 0, -1.50022978243972, 
1, 2, dynamic_biofisico/Dist_parquesreservas, 100, 0.0133009924355483, 
1, 2, dynamic_biofisico/Dist_parquesreservas, 1200, 0.0731959998049734, 
1, 2, dynamic_biofisico/Dist_parquesreservas, 1700, -0.0926537775434669, 
1, 2, dynamic_biofisico/Dist_parquesreservas, 2300, 0.40461887981782, 
1, 2, dynamic_biofisico/Dist_parquesreservas, 2500, -0.454513438216386, 
1, 2, dynamic_biofisico/Dist_parquesreservas, 2700, -0.183638484080986, 
1, 2, dynamic_biofisico/Dist_parquesreservas, 3000, 0.216309281179243, 
1, 2, dynamic_biofisico/Dist_parquesreservas, 3400, 1.31956642814551, 
1, 2, dynamic_biofisico/Dist_parquesreservas, 3500, 0.0850962015103805, 
1, 2, dynamic_biofisico/Dist_parquesreservas, 4200, -0.985833491450734, 
1, 2, dynamic_biofisico/Dist_parquesreservas, 4300, -1.1709174809406, 
1, 2, dynamic_biofisico/Dist_parquesreservas, 4700, 0.253795990083237, 
