Window_Sizes*, Minimum_Similarities, Maximum_Similarities, 
1, 0.0638218281836961, 0.166412209909888, 
3, 0.0779676505396749, 0.287469018792165, 
5, 0.0891462894490138, 0.425006345737525, 
7, 0.0996287392200741, 0.5433573823195, 
9, 0.109850098017368, 0.638441411593108, 
11, 0.119825280742961, 0.713851354600649, 
