Transition_From*, Transition_To*, Variable*, Range_Lower_Limit*, Range_Upper_Limit*, Possible_Transitions, Executed_Transitions, Weight_Coefficient, Contrast, Significant, 
1, 2, dynamic_amenazas/Dist_Deslizamiento, 4020, 4260, 117, 20, 1.29728298346359, 1.30532529858622, 1, 
1, 2, dynamic_amenazas/Dist_Deslizamiento, 4260, 4440, 6, 1, 1.26682377597889, 1.26721857158055, 0, 
1, 2, dynamic_amenazas/Dist_Mineria, 0, 60, 145, 6, -0.269294857626766, -0.270311399549289, 0, 
1, 2, dynamic_amenazas/Dist_Mineria, 60, 120, 164, 3, -1.10937247004048, -1.11271358392978, 0, 
1, 2, dynamic_amenazas/Dist_Mineria, 120, 180, 188, 7, -0.379167275934641, -0.380938290578632, 0, 
1, 2, dynamic_amenazas/Dist_Mineria, 180, 300, 442, 13, -0.623087955190609, -0.629290209756861, 1, 
1, 2, dynamic_amenazas/Dist_Mineria, 300, 540, 1338, 49, -0.39638209855269, -0.409848015855997, 1, 
1, 2, dynamic_amenazas/Dist_Mineria, 540, 600, 372, 29, 0.402984989096405, 0.408308561845257, 1, 
1, 2, dynamic_amenazas/Dist_Mineria, 600, 660, 380, 21, 0.0346196555110152, 0.0350143689135998, 0, 
1, 2, dynamic_amenazas/Dist_Mineria, 660, 1140, 3481, 232, 0.234054442273081, 0.263882826819512, 1, 
1, 2, dynamic_amenazas/Dist_Mineria, 1140, 1200, 466, 52, 0.798797351031984, 0.814749690033842, 1, 
1, 2, dynamic_amenazas/Dist_Mineria, 1200, 1380, 1313, 110, 0.481326256093608, 0.505451278172191, 1, 
1, 2, dynamic_amenazas/Dist_Mineria, 1380, 1740, 2563, 176, 0.266110974975193, 0.290654247704191, 1, 
1, 2, dynamic_amenazas/Dist_Mineria, 1740, 1800, 421, 20, -0.124809547476707, -0.126278684248385, 0, 
1, 2, dynamic_amenazas/Dist_Mineria, 1800, 1920, 794, 45, 0.0613431125289714, 0.0628411377948828, 0, 
1, 2, dynamic_amenazas/Dist_Mineria, 1920, 4020, 10160, 575, 0.0598349915934768, 0.0860768395358856, 0, 
1, 2, dynamic_amenazas/Dist_Mineria, 4020, 4140, 407, 30, 0.342371800490016, 0.34718942506312, 0, 
