Window_Sizes*, Minimum_Similarities, Maximum_Similarities, 
1, 0.128626913411012, 0.250705061600119, 
3, 0.267032803918658, 0.303328002436981, 
5, 0.275641977141161, 0.476962912192522, 
7, 0.284844886447974, 0.626151854390374, 
9, 0.292415021522933, 0.741832305231894, 
11, 0.296422740092029, 0.826441245906633, 
