Transition_From*, Transition_To*, Variable*, Range_Lower_Limit*, Range_Upper_Limit*, Possible_Transitions, Executed_Transitions, Weight_Coefficient, Contrast, Significant, 
1, 2, dynamic_Infraestructura/Dist_constru_rural, 1000, 1100, 658, 11, -1.18492549209671, -1.19868208563231, 1, 
1, 2, dynamic_Infraestructura/Dist_constru_rural, 1100, 1200, 573, 22, -0.331166826188778, -0.335931613861368, 0, 
1, 2, dynamic_Infraestructura/Dist_constru_rural, 1200, 1300, 531, 6, -1.58211326375775, -1.59484611600469, 1, 
1, 2, dynamic_Infraestructura/Dist_constru_rural, 1300, 1600, 1322, 8, -2.2118641277589, -2.24804428667816, 1, 
1, 2, dynamic_Infraestructura/Dist_constru_rural, 1600, 2700, 2864, 9, -2.87007701514807, -2.95544764597857, 1, 
1, 2, dynamic_Infraestructura/Dist_constru_urbana, 0, 100, 671, 99, 1.13550638836061, 1.17339737143217, 1, 
1, 2, dynamic_Infraestructura/Dist_constru_urbana, 100, 400, 941, 104, 0.804092358257718, 0.836674276452705, 1, 
1, 2, dynamic_Infraestructura/Dist_constru_urbana, 400, 500, 247, 34, 1.05459388851256, 1.0667943114043, 1, 
1, 2, dynamic_Infraestructura/Dist_constru_urbana, 500, 600, 278, 28, 0.700269121918778, 0.708024368551566, 1, 
1, 2, dynamic_Infraestructura/Dist_constru_urbana, 600, 900, 939, 119, 0.959344682459051, 1.00113692858619, 1, 
1, 2, dynamic_Infraestructura/Dist_constru_urbana, 900, 1000, 324, 33, 0.712709823900808, 0.721979927647285, 1, 
1, 2, dynamic_Infraestructura/Dist_constru_urbana, 1000, 1100, 315, 22, 0.300395373947069, 0.303532134183932, 0, 
1, 2, dynamic_Infraestructura/Dist_constru_urbana, 1100, 1700, 3355, 195, 0.10419778158861, 0.115866553585936, 0, 
1, 2, dynamic_Infraestructura/Dist_constru_urbana, 1700, 1800, 696, 20, -0.630935272883152, -0.640651009527012, 1, 
1, 2, dynamic_Infraestructura/Dist_constru_urbana, 1800, 2000, 1498, 64, -0.219814408194073, -0.22871821782782, 0, 
1, 2, dynamic_Infraestructura/Dist_constru_urbana, 2000, 2100, 755, 60, 0.439958246263129, 0.451891372484929, 1, 
1, 2, dynamic_Infraestructura/Dist_constru_urbana, 2100, 2200, 668, 40, 0.135864817251558, 0.138685501665549, 0, 
1, 2, dynamic_Infraestructura/Dist_constru_urbana, 2200, 2300, 600, 29, -0.0905678500637156, -0.092087832179364, 0, 
1, 2, dynamic_Infraestructura/Dist_constru_urbana, 2300, 2400, 536, 19, -0.414078365736168, -0.419447997133419, 0, 
1, 2, dynamic_Infraestructura/Dist_constru_urbana, 2400, 2500, 619, 29, -0.12330117730747, -0.125405891770861, 0, 
1, 2, dynamic_Infraestructura/Dist_constru_urbana, 2500, 2600, 668, 23, -0.444230571260802, -0.451339296847933, 1, 
1, 2, dynamic_Infraestructura/Dist_constru_urbana, 2600, 2800, 1427, 38, -0.709227653422137, -0.731251866446297, 1, 
1, 2, dynamic_Infraestructura/Dist_constru_urbana, 2800, 3000, 1494, 31, -0.964731666929157, -0.992973297219462, 1, 
1, 2, dynamic_Infraestructura/Dist_constru_urbana, 3000, 3300, 2399, 63, -0.723535087950764, -0.761924587941443, 1, 
1, 2, dynamic_Infraestructura/Dist_constru_urbana, 3300, 3800, 4270, 136, -0.524820324899841, -0.581512534982875, 1, 
1, 2, dynamic_Infraestructura/Dist_constru_urbana, 3800, 3900, 811, 21, -0.737984978131824, -0.750675752030805, 1, 
1, 2, dynamic_Infraestructura/Dist_constru_urbana, 3900, 4200, 2255, 74, -0.493948143391639, -0.521094742359279, 1, 
1, 2, dynamic_Infraestructura/Dist_constru_urbana, 4200, 4300, 664, 30, -0.16132604316925, -0.164233549941016, 0, 
1, 2, dynamic_Infraestructura/Dist_constru_urbana, 4300, 4400, 631, 38, 0.141917290334481, 0.144704997531712, 0, 
1, 2, dynamic_Infraestructura/Dist_constru_urbana, 4400, 4500, 532, 15, -0.650467143800398, -0.658032165761085, 1, 
1, 2, dynamic_Infraestructura/Dist_constru_urbana, 4500, 4600, 371, 13, -0.426058099333343, -0.429847156239212, 0, 
1, 2, dynamic_Infraestructura/Dist_constru_urbana, 4600, 4700, 274, 12, -0.193912324367276, -0.195318829228463, 0, 
1, 2, dynamic_Infraestructura/Dist_constru_urbana, 4700, 4800, 210, 2, -1.75486536953555, -1.76008601661526, 1, 
1, 2, dynamic_Infraestructura/Dist_constru_urbana, 4800, 4900, 186, 12, 0.215376880179292, 0.216648730948928, 0, 
1, 2, dynamic_Infraestructura/Dist_constru_urbana, 4900, 5000, 132, 6, -0.154996908117602, -0.155545845501989, 0, 
1, 2, dynamic_Infraestructura/Dist_constru_urbana, 5000, 5200, 347, 21, 0.147150585962536, 0.14872995211563, 0, 
1, 2, dynamic_Infraestructura/Dist_constru_urbana, 5200, 5300, 130, 18, 1.06139841620689, 1.06784246866759, 1, 
1, 2, dynamic_Infraestructura/Dist_constru_urbana, 5300, 5400, 146, 14, 0.645780936634708, 0.649423859354917, 1, 
1, 2, dynamic_Infraestructura/Dist_constru_urbana, 5400, 5600, 470, 31, 0.239013321015795, 0.242651861527171, 0, 
1, 2, dynamic_Infraestructura/Dist_constru_urbana, 5600, 9400, 5054, 346, 0.278945836283377, 0.333824032992919, 1, 
1, 2, dynamic_Infraestructura/Dist_linea_altatension, 0, 100, 2228, 183, 0.475858613970339, 0.516850279465227, 1, 
1, 2, dynamic_Infraestructura/Dist_linea_altatension, 100, 200, 1950, 93, -0.104592538593629, -0.110482707395289, 0, 
1, 2, dynamic_Infraestructura/Dist_linea_altatension, 200, 500, 6203, 359, 0.0996771452235094, 0.122428834527333, 1, 
1, 2, dynamic_Infraestructura/Dist_linea_altatension, 500, 600, 1954, 146, 0.373155610362035, 0.399659222760349, 1, 
1, 2, dynamic_Infraestructura/Dist_linea_altatension, 600, 700, 1973, 121, 0.161294659996437, 0.171731281363028, 0, 
1, 2, dynamic_Infraestructura/Dist_linea_altatension, 700, 1100, 7447, 378, -0.0390545809455458, -0.049412416094893, 0, 
1, 2, dynamic_Infraestructura/Dist_linea_altatension, 1100, 1200, 1843, 113, 0.161036660826337, 0.170727399761465, 0, 
1, 2, dynamic_Infraestructura/Dist_linea_altatension, 1200, 1300, 1718, 65, -0.346434298319566, -0.361720252629892, 1, 
1, 2, dynamic_Infraestructura/Dist_linea_altatension, 1300, 1900, 6051, 186, -0.561485557768554, -0.650055105287862, 1, 
1, 2, dynamic_Infraestructura/Dist_linea_altatension, 1900, 2000, 512, 12, -0.840175919028371, -0.848862301878692, 1, 
1, 2, dynamic_Infraestructura/Dist_linea_altatension, 2000, 2100, 411, 15, -0.38383848054645, -0.387693833195778, 0, 
1, 2, dynamic_Infraestructura/Dist_linea_altatension, 2100, 2200, 323, 3, -1.78018317751984, -1.78827290729629, 1, 
1, 2, dynamic_Infraestructura/Dist_linea_altatension, 2200, 2300, 257, 12, -0.126826031150906, -0.127714567048181, 0, 
1, 2, dynamic_Infraestructura/Dist_linea_altatension, 2300, 2400, 166, 14, 0.504702338374803, 0.507737949039421, 0, 
1, 2, dynamic_Infraestructura/Dist_linea_altatension, 2400, 2500, 163, 10, 0.161672701207431, 0.162488554211106, 0, 
1, 2, dynamic_Infraestructura/Dist_linea_altatension, 2500, 2600, 155, 4, -0.741459946089213, -0.743858455532635, 0, 
1, 2, dynamic_Infraestructura/Dist_linea_altatension, 2600, 2700, 178, 7, -0.306227877841526, -0.307597834674761, 0, 
1, 2, dynamic_Infraestructura/Dist_linea_altatension, 2700, 2800, 180, 12, 0.250468199990562, 0.25192240495333, 0, 
1, 2, dynamic_Infraestructura/Dist_linea_altatension, 2800, 2900, 239, 13, 0.0339398877950715, 0.0341774362930519, 0, 
1, 2, dynamic_Infraestructura/Dist_linea_altatension, 2900, 3000, 195, 14, 0.330085827955253, 0.33224018049097, 0, 
1, 2, dynamic_Infraestructura/Dist_linea_altatension, 3000, 3100, 157, 6, -0.335994837981049, -0.337302834775505, 0, 
1, 2, dynamic_Infraestructura/Dist_linea_altatension, 3100, 3200, 147, 12, 0.469157400955391, 0.471613960015296, 0, 
1, 2, dynamic_Infraestructura/Dist_linea_altatension, 3200, 3400, 212, 14, 0.240315828526544, 0.241953220172522, 0, 
1, 2, dynamic_Infraestructura/Dist_linea_altatension, 3400, 3500, 123, 14, 0.837234976991935, 0.841575852916923, 1, 
1, 2, dynamic_Infraestructura/Dist_linea_altatension, 3500, 3700, 110, 30, 1.90869627659409, 1.92272226732885, 1, 
1, 2, dynamic_Infraestructura/Dist_linea_altatension, 3700, 3800, 18, 3, 1.28008761717172, 1.28126663926912, 1, 
1, 2, dynamic_Infraestructura/Dist_potable, 0, 60, 309, 23, 0.369027934715118, 0.37292871972098, 0, 
