Transition_From*, Transition_To*, First_Variable*, Second_Variable*, Chi_2, Cramer, Contingency, Joint_Entropy, Joint_Uncertainty, 
1, 2, dynamic_Infraestructura/Dist_NuevosUrbanis, static_amenazas/Bin_Inundaciones, 0, 0, 0, 0.499371173006575, 0, 
1, 2, dynamic_Infraestructura/Dist_NuevosUrbanis, static_amenazas/Bin_Mineria, 0, 0, 0, 0.550858236773609, 0, 
1, 2, dynamic_Infraestructura/Dist_NuevosUrbanis, static_amenazas/Bin_incendios_forestales, 2094.02923254285, 0.141617251935928, 0.196377324309821, 2.07926761186564, 0.0222825229692357, 
1, 2, dynamic_Infraestructura/Dist_NuevosUrbanis, static_biofisico/Bin_POMCA, 5891.53475139819, 0.503474493226745, 0.580015656605078, 1.69763739531027, 0.296731881799679, 
1, 2, dynamic_Infraestructura/Dist_NuevosUrbanis, static_biofisico/Bin_clasedesuelos, 21630.010166919, 0.347046194507454, 0.440592419355706, 1.66540448902202, 0.141937016315545, 
1, 2, dynamic_Infraestructura/Dist_NuevosUrbanis, static_biofisico/Bin_humendales, 0, 0, 0, 0.895360757532164, 0, 
1, 2, dynamic_Infraestructura/Dist_NuevosUrbanis, static_biofisico/Bin_nacimientos, 0, 0, 0, 1.25908457761025, 0, 
1, 2, dynamic_Infraestructura/Dist_NuevosUrbanis, static_biofisico/Bin_parquesreservas, 0, 0, 0, 0.898591057522895, 0, 
1, 2, dynamic_Infraestructura/Dist_NuevosUrbanis, static_biofisico/Bin_silape, 829.635175470705, 0.150968702083703, 0.14927715719323, 1.82122474194078, 0.0126462311793088, 
1, 2, dynamic_Infraestructura/Dist_NuevosUrbanis, static_biofisico/bin_rnare, 0, 0, 0, 0.816088314401331, 0, 
1, 2, dynamic_Infraestructura/Dist_NuevosUrbanis, static_conflictos/Bin_estructuraecologicappal, 0, 0, 0, 1.20558536107512, 0, 
1, 2, dynamic_Infraestructura/Dist_claseurbana, dynamic_Infraestructura/Dist_constru_rural, 35008.6113830232, 0.20813260038816, 0.529631572139345, 3.93579511605767, 0.0999288567019964, 
1, 2, dynamic_Infraestructura/Dist_claseurbana, dynamic_Infraestructura/Dist_constru_urbana, 424766.848505068, 0.54373744035964, 0.908566073059778, 3.58128704602687, 0.594943811314427, 
1, 2, dynamic_Infraestructura/Dist_claseurbana, dynamic_Infraestructura/Dist_linea_altatension, 51832.509850586, 0.253252526890176, 0.604960905136155, 3.86662363977188, 0.120745308660769, 
1, 2, dynamic_Infraestructura/Dist_claseurbana, dynamic_Infraestructura/Dist_potable, 31217.2574683343, 0.163530821938781, 0.507905238095299, 4.08641573851277, 0.0817901511817318, 
1, 2, dynamic_Infraestructura/Dist_claseurbana, dynamic_Infraestructura/Dist_redEPM, 42532.1862764096, 0.172057173793469, 0.566936364720552, 4.13191066253193, 0.121904978824891, 
1, 2, dynamic_Infraestructura/Dist_claseurbana, dynamic_Infraestructura/Dist_vias_region, 19647.223179782, 0.12973370937036, 0.423699679939703, 3.57846535446678, 0.0652708733274319, 
1, 2, dynamic_Infraestructura/Dist_claseurbana, dynamic_Infraestructura/Dist_vias_rurales, 40660.5365359845, 0.168228852976092, 0.558284145791821, 4.45283013071691, 0.0951516073843863, 
1, 2, dynamic_Infraestructura/Dist_claseurbana, dynamic_amenazas/Dist_Altaincendios, 62674.1750164878, 0.242472478332354, 0.696217213389217, 3.8429354138806, 0.223590487882546, 
1, 2, dynamic_Infraestructura/Dist_claseurbana, dynamic_amenazas/Dist_Deslizamiento, 42553.4149931407, 0.20860742243897, 0.568968051295534, 3.66375228765736, 0.117741206493589, 
1, 2, dynamic_Infraestructura/Dist_claseurbana, dynamic_amenazas/Dist_Mineria, 34014.0827774769, 0.155048340657981, 0.527058361490446, 4.25275209841131, 0.0988244580578884, 
1, 2, dynamic_Infraestructura/Dist_claseurbana, dynamic_amenazas/Dist_PlantacionesHisto, 15079.2164552766, 0.18328693813372, 0.37922816097076, 3.44954608505322, 0.047098696589719, 
1, 2, dynamic_Infraestructura/Dist_claseurbana, dynamic_biofisico/Dist_CorredoresSILAPE, 25480.5591864019, 0.307551445499313, 0.470149370023137, 3.2964551803045, 0.0982156537141043, 
1, 2, dynamic_Infraestructura/Dist_claseurbana, dynamic_biofisico/Dist_EcoPOMCA, 47705.5446787008, 0.242961296980414, 0.589022954968602, 3.41756934645723, 0.153910996065894, 
1, 2, dynamic_Infraestructura/Dist_claseurbana, dynamic_biofisico/Dist_NucleosSILAPE, 27222.8320814183, 0.194668454633894, 0.482325949794834, 3.79748205529533, 0.0821167814636773, 
1, 2, dynamic_Infraestructura/Dist_claseurbana, dynamic_biofisico/Dist_nacimientos, 0, 0, 0, 2.41618600832597, 0, 
1, 2, dynamic_Infraestructura/Dist_claseurbana, dynamic_biofisico/Dist_parquesreservas, 131958.189045045, 0.303062432458665, 0.771406397562503, 4.08144087338232, 0.292669016848196, 
1, 2, dynamic_Infraestructura/Dist_claseurbana, dynamic_biofisico/Dista_riosquebradas, 5195.75494273546, 0.170091751978697, 0.233874924379242, 2.91823706957919, 0.0198917944789126, 
1, 2, dynamic_Infraestructura/Dist_claseurbana, dynamic_biofisico/bin_rnare, 85981.7426830407, 0.24463413314138, 0.699394826459267, 4.73617316424449, 0.195896944140954, 
1, 2, dynamic_Infraestructura/Dist_claseurbana, dynamic_conflictos/Dist_ConflictosEEP, 6526.53144075515, 0.155651930872361, 0.260303212415156, 3.35001882683798, 0.023311129568602, 
