Window_Sizes*, Minimum_Similarities, Maximum_Similarities, 
1, 0.0399041664827399, 0.138637212008761, 
3, 0.048730776686594, 0.266112962281862, 
5, 0.0559545327019879, 0.413447550873649, 
7, 0.0629275557505591, 0.540446060482963, 
9, 0.0698059737647797, 0.641590889129206, 
11, 0.0766001557724229, 0.721083195639166, 
